PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628366,Lonzo Ball,2017,College/University,2017-18,52.0,34.2,10.2,6.9,7.2,0.444,0.169
1628367,Josh Jackson,2017,College/University,2017-18,77.0,25.4,13.1,4.6,1.5,0.48,0.253
1628368,De'Aaron Fox,2017,College/University,2017-18,73.0,27.7,11.6,2.8,4.4,0.478,0.227
1628369,Jayson Tatum,2017,College/University,2017-18,80.0,30.5,13.9,5.0,1.6,0.586,0.192
1628370,Malik Monk,2017,College/University,2017-18,63.0,13.5,6.7,1.0,1.4,0.477,0.241
1628371,Jonathan Isaac,2017,College/University,2017-18,27.0,19.8,5.4,3.7,0.7,0.465,0.149
1628372,Dennis Smith Jr.,2017,College/University,2017-18,69.0,29.7,15.2,3.8,5.2,0.473,0.28
1628374,Lauri Markkanen,2017,College/University,2017-18,68.0,29.7,15.2,7.5,1.2,0.552,0.215
1628378,Donovan Mitchell,2017,College/University,2017-18,79.0,33.4,20.5,3.7,3.7,0.541,0.283
1628379,Luke Kennard,2017,College/University,2017-18,73.0,20.0,7.6,2.4,1.7,0.56,0.169
1628380,Zach Collins,2017,College/University,2017-18,66.0,15.8,4.4,3.3,0.8,0.475,0.153
1628381,John Collins,2017,College/University,2017-18,74.0,24.1,10.5,7.3,1.3,0.62,0.174
1628382,Justin Jackson,2017,College/University,2017-18,68.0,22.2,6.7,2.8,1.1,0.521,0.139
1628384,OG Anunoby,2017,College/University,2017-18,74.0,20.0,5.9,2.5,0.7,0.587,0.121
1628385,Harry Giles III,2017,College/University,2018-19,58.0,14.1,7.0,3.8,1.5,0.526,0.227
1628386,Jarrett Allen,2017,College/University,2017-18,72.0,20.0,8.2,5.4,0.7,0.636,0.162
1628389,Bam Adebayo,2017,College/University,2017-18,69.0,19.8,6.9,5.5,1.5,0.57,0.157
1628391,D.J. Wilson,2017,College/University,2018-19,48.0,18.4,5.8,4.6,1.1,0.515,0.141
1628393,Jawun Evans,2017,College/University,2017-18,48.0,16.2,4.8,1.8,2.1,0.421,0.17
1628395,Jordan Bell,2017,College/University,2017-18,57.0,14.2,4.6,3.6,1.8,0.641,0.134
1628397,Ivan Rabb,2017,College/University,2017-18,36.0,14.3,5.6,4.4,0.9,0.599,0.167
1628398,Kyle Kuzma,2017,College/University,2017-18,77.0,31.2,16.1,6.3,1.8,0.549,0.219
1628400,Semi Ojeleye,2017,College/University,2017-18,73.0,15.8,2.7,2.2,0.3,0.473,0.088
1628401,Derrick White,2017,College/University,2018-19,67.0,25.8,9.9,3.7,3.9,0.555,0.178
1628402,Frank Jackson,2017,College/University,2018-19,61.0,19.2,8.1,2.2,1.1,0.517,0.178
1628404,Josh Hart,2017,College/University,2017-18,63.0,23.2,7.9,4.2,1.3,0.596,0.133
1628407,Dwayne Bacon,2017,College/University,2017-18,53.0,13.5,3.3,2.3,0.7,0.431,0.13
1628409,Alec Peters,2017,College/University,2017-18,20.0,11.2,4.1,1.8,0.6,0.523,0.151
1628411,Wes Iwundu,2017,College/University,2017-18,62.0,16.5,3.7,2.2,0.9,0.48,0.114
1628412,Frank Mason III,2017,College/University,2017-18,52.0,18.9,7.9,2.5,2.8,0.48,0.226
1628414,Sindarius Thornwell,2017,College/University,2017-18,73.0,15.8,3.9,1.9,0.9,0.519,0.118
1628415,Dillon Brooks,2017,College/University,2017-18,82.0,28.7,11.0,3.1,1.6,0.531,0.184
1628416,Tyler Dorsey,2017,College/University,2017-18,56.0,17.4,7.2,2.3,1.4,0.494,0.193
1628417,Jaron Blossomgame,2017,College/University,2018-19,27.0,16.3,4.2,3.6,0.5,0.51,0.12
1628418,Thomas Bryant,2017,College/University,2018-19,72.0,20.8,10.5,6.3,1.3,0.674,0.17
1628420,Monte Morris,2017,College/University,2018-19,82.0,24.0,10.4,2.4,3.6,0.577,0.168
1628422,Damyean Dotson,2017,College/University,2017-18,44.0,10.8,4.1,1.9,0.7,0.532,0.169
1628425,Sterling Brown,2017,College/University,2017-18,54.0,14.4,4.0,2.6,0.5,0.503,0.135
1628432,Davon Reed,2017,College/University,2017-18,21.0,11.5,3.0,1.9,0.6,0.388,0.158
1628960,Grayson Allen,2018,College/University,2018-19,38.0,11.0,5.6,0.6,0.7,0.516,0.238
1628963,Marvin Bagley III,2018,College/University,2018-19,62.0,25.3,14.9,7.6,1.0,0.562,0.237
1628964,Mo Bamba,2018,College/University,2018-19,47.0,16.3,6.2,5.0,0.8,0.539,0.174
1628966,Keita Bates-Diop,2018,College/University,2018-19,30.0,16.8,5.0,2.8,0.6,0.489,0.14
1628969,Mikal Bridges,2018,College/University,2018-19,82.0,29.5,8.3,3.2,2.1,0.556,0.119
1628970,Miles Bridges,2018,College/University,2018-19,80.0,21.2,7.5,4.0,1.2,0.548,0.147
1628971,Bruce Brown,2018,College/University,2018-19,74.0,19.6,4.3,2.5,1.2,0.469,0.113
1628972,Troy Brown Jr.,2018,College/University,2018-19,52.0,14.0,4.8,2.8,1.5,0.487,0.158
1628973,Jalen Brunson,2018,College/University,2018-19,73.0,21.8,9.3,2.3,3.2,0.549,0.186
1628975,Jevon Carter,2018,College/University,2018-19,39.0,14.8,4.4,1.7,1.8,0.432,0.172
1628976,Wendell Carter Jr.,2018,College/University,2018-19,44.0,25.2,10.3,7.0,1.8,0.541,0.192
1628977,Hamidou Diallo,2018,College/University,2018-19,51.0,10.3,3.7,1.9,0.3,0.497,0.16
1628978,Donte DiVincenzo,2018,College/University,2018-19,27.0,15.2,4.9,2.4,1.1,0.507,0.145
1628980,Jacob Evans,2018,College/University,2019-20,29.0,14.4,4.4,1.4,1.1,0.436,0.167
1628981,Bruno Fernando,2019,College/University,2019-20,56.0,12.7,4.3,3.5,0.9,0.542,0.147
1628983,Shai Gilgeous-Alexander,2018,College/University,2018-19,82.0,26.5,10.8,2.8,3.3,0.554,0.182
1628984,Devonte' Graham,2018,College/University,2018-19,46.0,14.7,4.7,1.4,2.6,0.459,0.166
1628988,Aaron Holiday,2018,College/University,2018-19,50.0,12.9,5.9,1.3,1.7,0.518,0.206
1628989,Kevin Huerter,2018,College/University,2018-19,75.0,27.3,9.7,3.3,2.9,0.533,0.153
1628990,Chandler Hutchison,2018,College/University,2018-19,44.0,20.3,5.2,4.2,0.8,0.507,0.121
1628991,Jaren Jackson Jr.,2018,College/University,2018-19,58.0,26.1,13.8,4.7,1.1,0.591,0.231
1628995,Kevin Knox II,2018,College/University,2018-19,75.0,28.8,12.8,4.5,1.1,0.475,0.219
1628998,Cody Martin,2019,College/University,2019-20,48.0,18.8,5.0,3.3,2.0,0.505,0.131
1629001,De'Anthony Melton,2018,College/University,2018-19,50.0,19.7,5.0,2.7,3.2,0.466,0.147
1629003,Shake Milton,2018,College/University,2018-19,20.0,13.4,4.4,1.8,0.9,0.483,0.147
1629004,Svi Mykhailiuk,2018,College/University,2018-19,42.0,10.5,3.2,0.9,0.9,0.447,0.157
1629006,Josh Okogie,2018,College/University,2018-19,74.0,23.7,7.7,2.9,1.2,0.492,0.148
1629008,Michael Porter Jr.,2018,College/University,2019-20,55.0,16.4,9.3,4.7,0.8,0.617,0.211
1629010,Jerome Robinson,2018,College/University,2019-20,63.0,15.5,5.1,2.0,1.4,0.476,0.155
1629012,Collin Sexton,2018,College/University,2018-19,82.0,31.8,16.7,2.9,3.0,0.52,0.247
1629013,Landry Shamet,2018,College/University,2018-19,79.0,22.8,9.1,1.7,1.5,0.604,0.145
1629016,Omari Spellman,2018,College/University,2018-19,46.0,17.5,5.9,4.2,1.0,0.516,0.146
1629018,Gary Trent Jr.,2018,College/University,2019-20,61.0,21.8,8.9,1.6,1.0,0.587,0.15
1629021,Moritz Wagner,2018,College/University,2018-19,43.0,10.4,4.8,2.0,0.6,0.533,0.21
1629022,Lonnie Walker IV,2018,College/University,2019-20,61.0,16.2,6.4,2.3,1.1,0.507,0.183
1629023,P.J. Washington,2019,College/University,2019-20,58.0,30.3,12.2,5.4,2.1,0.547,0.184
1629027,Trae Young,2018,College/University,2018-19,81.0,30.9,19.1,3.7,8.1,0.539,0.277
1629028,Deandre Ayton,2018,College/University,2018-19,71.0,30.7,16.3,10.3,1.8,0.608,0.21
1629057,Robert Williams III,2018,College/University,2019-20,29.0,13.4,5.2,4.4,0.9,0.728,0.135
1629060,Rui Hachimura,2019,College/University,2019-20,48.0,30.1,13.5,6.1,1.8,0.535,0.189
1629604,CJ Elleby,2020,College/University,2021-22,58.0,20.2,5.8,3.9,1.5,0.491,0.143
1629611,Terance Mann,2019,College/University,2020-21,67.0,18.9,7.0,3.6,1.6,0.603,0.144
1629614,Andrew Nembhard,2022,College/University,2022-23,75.0,27.6,9.5,2.7,4.5,0.528,0.159
1629618,Jalen Pickett,2023,College/University,2024-25,49.0,13.6,4.1,1.4,2.2,0.545,0.13
1629627,Zion Williamson,2019,College/University,2019-20,24.0,27.8,22.5,6.2,2.1,0.616,0.291
1629628,RJ Barrett,2019,College/University,2019-20,56.0,30.4,14.3,5.0,2.6,0.479,0.234
1629629,Cam Reddish,2019,College/University,2019-20,58.0,26.7,10.5,3.7,1.5,0.5,0.185
1629630,Ja Morant,2019,College/University,2019-20,67.0,31.0,17.8,3.9,7.3,0.556,0.256
1629631,De'Andre Hunter,2019,College/University,2019-20,63.0,32.0,12.3,4.5,1.8,0.521,0.173
1629632,Coby White,2019,College/University,2019-20,65.0,25.8,13.2,3.5,2.7,0.506,0.235
1629633,Jarrett Culver,2019,College/University,2019-20,63.0,23.9,9.2,3.4,1.7,0.467,0.187
1629634,Brandon Clarke,2019,College/University,2019-20,58.0,22.4,12.1,5.9,1.4,0.663,0.18
1629636,Darius Garland,2019,College/University,2019-20,59.0,30.9,12.3,1.9,3.9,0.498,0.201
1629637,Jaxson Hayes,2019,College/University,2019-20,64.0,16.9,7.4,4.0,0.9,0.689,0.146
1629638,Nickeil Alexander-Walker,2019,College/University,2019-20,47.0,12.6,5.7,1.8,1.9,0.473,0.233
1629639,Tyler Herro,2019,College/University,2019-20,55.0,27.4,13.5,4.1,2.2,0.55,0.213
1629640,Keldon Johnson,2019,College/University,2020-21,69.0,28.5,12.8,6.0,1.8,0.557,0.189
1629641,Romeo Langford,2019,College/University,2019-20,32.0,11.6,2.5,1.3,0.4,0.434,0.113
1629642,Nassir Little,2019,College/University,2019-20,48.0,11.9,3.6,2.2,0.5,0.505,0.131
1629643,Chuma Okeke,2019,College/University,2020-21,45.0,25.2,7.8,4.0,2.2,0.511,0.142
1629644,KZ Okpala,2019,College/University,2020-21,37.0,12.1,2.5,1.8,0.5,0.448,0.115
1629645,Kevin Porter Jr.,2019,College/University,2019-20,50.0,23.2,10.0,3.2,2.2,0.535,0.202
1629646,Charles Bassey,2021,College/University,2022-23,35.0,14.5,5.7,5.5,1.4,0.658,0.152
1629651,Nic Claxton,2019,College/University,2020-21,32.0,18.6,6.6,5.2,0.9,0.612,0.136
1629655,Daniel Gafford,2019,College/University,2019-20,43.0,14.2,5.1,2.5,0.5,0.686,0.131
1629656,Quentin Grimes,2021,College/University,2021-22,46.0,17.1,6.0,2.0,1.0,0.565,0.149
1629659,Talen Horton-Tucker,2019,College/University,2020-21,65.0,20.1,9.0,2.6,2.8,0.536,0.21
1629660,Ty Jerome,2019,College/University,2019-20,31.0,10.6,3.3,1.5,1.4,0.425,0.17
1629661,Cameron Johnson,2019,College/University,2019-20,57.0,22.0,8.8,3.3,1.2,0.586,0.151
1629667,Jalen McDaniels,2019,College/University,2020-21,47.0,19.2,7.4,3.6,1.1,0.554,0.169
